Name,Custodian,Caption,Description,Data type,Purpose,Attribution,Source Link,Citation,Institution,Image Link,Longitude,Latitude,Date,Title,Text Box,Gravatar,Tag One,Tag Two,Tag Three,Tag Four,SubTitle1,SubText1,SubTitle2,SubText2,SubTitle3,SubText3
1775 Bridewell Prison Built,Bri,1775: Bridewell opened to help with overflow of prisoners from New Gaol; also housed American prisoners of war during Revolution,Date Bridewell is built on the Commons as well as its purposes,Text,Horizontal timeline marker,,http://s-media.nyc.gov/agencies/lpc/arch_reports/1556.pdf,"Chrysalis Archaeology and URS Corporation. City Hall Rehabilitation Archaeology Project 2010-2011 Volume 2. Edited by Alyssa Loorya and Christopher Ricciardi, June 2013.",City Hall Rehabilitation Archaeology Project 2010-2011,,,,1775,,,,Infrastructure,Park,,,,,,,,
1783 Evacuation Day,Bri,1783: Last British troops left Manhattan on November 25,"Date of Evacuation Day, when the last British troops left New York, which used to be a major holiday in New York City",Text,Horizontal timeline marker,,https://www.nypl.org/blog/2014/11/24/evacuation-day-new-york-holiday,"Margino, Megan. “Evacuation Day: New York’s Former November Holiday.” The New York Public Library, 24 Nov. 2014.",The New York Public Libary,,,,1783,,,,Event,,,,,,,,,
1793 First Health Department,Bri,1793: First city health department created,"Date of the creation of the first health department for the city, created in response to the outbreak of yellow fever in Philadelphia",Text,Horizontal timeline marker,,https://www.mcny.org/story/germ-city-epidemics-throughout-new-yorks-history,"Hazelwood, Madeleine. “Germ City: Epidemics throughout New York’s History.” Museum of the City of New York, 23 Oct. 2018.",Museum of the City of New York,,,,1793,,,,Infrastructure,,,,,,,,,
1794 Van Borsum family ceases ownership of African Burial Ground plot,lane,1794: Van Borsum ceased ownership of African Burial Ground plot ,Date that the Van Borsum ceased owning the burial ground,Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument.",,,,,1794,,,,African,Hidden,,,,,,,,
1795: African Burial Ground plot is subdivided and sold for house lots ~ First Yellow Fever Cases in NYC,lane ~ Bri,1795: African Burial Ground plot was subdivided and sold for house lots ~ First cases of yellow fever in city; dozens died ,Date that the land encompassing the burial ground is sold for house lots / Date of the first cases of yellow fever in New York City,Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm ~ https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/?displayall=true,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument. ~ Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",National Park Service ~ Untapped New York,,,,1795,,,,African,Hidden,,,,,,,,
1796 Second Almshouse Built,Bri,1796: Second Almshouse was built to replace first one; remained in use until 1816,Date Second Almshouse is built and in use,Text,Horizontal timeline marker,,http://s-media.nyc.gov/agencies/lpc/arch_reports/1556.pdf,"Chrysalis Archaeology and URS Corporation. City Hall Rehabilitation Archaeology Project 2010-2011 Volume 2. Edited by Alyssa Loorya and Christopher Ricciardi, June 2013.",City Hall Rehabilitation Archaeology Project 2010-2011,,,,1796,,,,Infrastructure,Park,,,,,,,,
1798 Yellow Fever Death Toll,Bri,1798: 800 New Yorkers died from yellow fever,Date of yellow fever epidemic with death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/?displayall=true,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1798,,,,Disease,,,,,,,,,
1805 Yellow Fever Death Toll,Bri,1805: 270 New Yorkers died from yellow fever,Date of yellow fever epidemic with death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/?displayall=true,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1805,,,,Disease,,,,,,,,,
1812 City Hall Completed,Bri,"1812: Construction of City Hall was completed, atop the former site of the First Almshouse","Date that City Hall is completed, built where the First Almshouse used to be on the Commons",Text,Horizontal timeline marker,,https://www1.nyc.gov/site/designcommission/public-programs/city-hall/architectural-history.page,NYC Design Commission. “About City Hall: Architectural History.” NYC.Gov.,NYC.gov,,,,1812,,,,Infrastructure,Park,,,,,,,,
1822 Yellow Fever Death Toll,Bri,1822: 388 New Yorkers died from yellow fever,Date of yellow fever epidemic with death toll,Text,Horizontal timeline marker,,https://ephemeralnewyork.wordpress.com/2020/04/06/a-yellow-fever-outbreak-made-greenwich-village/,"Crain, Esther. “A Yellow Fever Outbreak Made Greenwich Village.” Ephemeral New York, 6 Apr. 2020.",Ephemeral New York,,,,1822,,,,Disease,,,,,,,,,
1823 Burial Ban,Bri,1823: New burials below Canal Street were banned,Date of first significant burial ban,Text,Horizontal timeline marker,,https://www.atlasobscura.com/articles/the-manhattan-burial-crisis-of-1822-makes-every-cemetery-today-seem-amazing,"Hedstrom, Casey. “The Manhattan Burial Crisis of 1822 Makes Every Cemetery Today Seem Amazing.” Atlas Obscura, 22 Oct. 2015.",Atlas Obscura,,,,1823,,,,Legislation,,,,,,,,,
1832 Cholera Death Toll,Bri,"1832: First cholera outbreak killed more than 3,500 New Yorkers",Date of first cholera outbreak and death toll,Text,Horizontal timeline marker,,https://www.mcny.org/story/germ-city-epidemics-throughout-new-yorks-history and https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Hazelwood, Madeleine. “Germ City: Epidemics throughout New York’s History.” Museum of the City of New York, 23 Oct. 2018. ~ Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Museum of the City of New York ~ Untapped New York,,,,1832,,,,Disease,,,,,,,,,
1834 Cholera Death Toll,Bri,"1834: 1,000 more New Yorkers died from cholera",Date of second cholera outbreak and death toll,Text,Horizontal timeline marker,,https://www.mcny.org/story/germ-city-epidemics-throughout-new-yorks-history ~ https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Hazelwood, Madeleine. “Germ City: Epidemics throughout New York’s History.” Museum of the City of New York, 23 Oct. 2018. ~ Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Museum of the City of New York ~ Untapped New York,,,,1834,,,,Disease,,,,,,,,,
1839 Burial Ban,Bri,1839: New burials below 14th Street were banned,Date of second significant burial ban,Text,Horizontal timeline marker,,https://www.atlasobscura.com/articles/the-manhattan-burial-crisis-of-1822-makes-every-cemetery-today-seem-amazing,"Hedstrom, Casey. “The Manhattan Burial Crisis of 1822 Makes Every Cemetery Today Seem Amazing.” Atlas Obscura, 22 Oct. 2015.",Atlas Obscura,,,,1839,,,,Legislation,,,,,,,,,
1842 Croton Aqueduct Finished,Bri,1842: Croton Aqueduct was finished,Date marks the first time fresh water is steadily and reliably transported to the city,Text,Horizontal timeline marker,,https://aqueduct.org/oca-history,"Friends of the Old Croton Aqueduct. “The Old Croton Aqueduct: An Engineering Marvel.” Friends of the Old Croton Aqueduct, 15 Jan. 2009.",Friends of the Old Croton Aqueduct,,,,1842,,,,Infrastructure,,,,,,,,,
1847 Rural Cemeteries Act,Bri,1847: Rural Cemeteries Act was passed,Date marks the passage of the Rural Cemeteries Act which encouraged developement of cemeteries in rural areas and led to the creation of the cemetery belt in Queens and Brooklyn,Text,Horizontal timeline marker,, https://www.nytimes.com/2017/04/27/nyregion/why-the-brooklyn-queens-border-is-full-of-dead-people.html ~ https://www.6sqft.com/five-million-dead-in-queens-new-york-citys-cemetery-belt/,"Williams, Keith. “Why the Brooklyn-Queens Border Is Full of Dead People.” The New York Times, 27 Apr. 2017. ~ Cohen, Michelle. “Five Million Dead in Queens: The History of New York City’s ‘Cemetery Belt.’” 6sqft, 28 Apr. 2017.",The New York Times AND 6sqft,,,,1847,,,,Legislation,,,,,,,,,
1847-1848 Typhoid Death Toll,Bri,"1847-1848: Typhoid outbreak killed nearly 2,400 New Yorkers",Date of first major typhoid outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/?displayall=true,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1848,,,,Disease,,,,,,,,,
1849 Cholera Death Toll ~ Pigs Banned,Bri,"1849: Another cholera outbreak killed more than 5,000 New Yorkers ~ Pigs were banned from the city",Date of third cholera outbreak and death toll ~ Date of public health legislation removing pigs from the city,Text,Horizontal timeline marker,,https://www.mcny.org/story/germ-city-epidemics-throughout-new-yorks-history ~ https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Hazelwood, Madeleine. “Germ City: Epidemics throughout New York’s History.” Museum of the City of New York, 23 Oct. 2018. ~ Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Museum of the City of New York ~ Untapped New York,,,,1849,,,,Disease,Legislation,,,,,,,,
1851 Typhoid Death Toll,Bri,"1851: Typhoid outbreak killed more than 1,000 New Yorkers",Date of major typhoid outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/?displayall=true,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1851,,,,Disease,,,,,,,,,
1854 Cholera Death Toll,Bri,"1854: Another cholera outbreak killed 2,000 New Yorkers",Date of fourth cholera outbreak and death toll,Text,Horizontal timeline marker,,https://www.mcny.org/story/germ-city-epidemics-throughout-new-yorks-history ~ https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Hazelwood, Madeleine. “Germ City: Epidemics throughout New York’s History.” Museum of the City of New York, 23 Oct. 2018. ~ Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Museum of the City of New York ~ Untapped New York,,,,1854,,,,Disease,,,,,,,,,
1859 Burial Ban,Bri,1859: New burials below 86th Street were banned,Date of third significant burial ban,Text,Horizontal timeline marker,,https://www.atlasobscura.com/articles/the-manhattan-burial-crisis-of-1822-makes-every-cemetery-today-seem-amazing,"Hedstrom, Casey. “The Manhattan Burial Crisis of 1822 Makes Every Cemetery Today Seem Amazing.” Atlas Obscura, 22 Oct. 2015.",Atlas Obscura,,,,1859,,,,Legislation,,,,,,,,,
1861-1872 Construction of Tweed Courthouse,Bri,1861-1872: Tweed Courthouse was built atop former site of Second Almshouse,Date of construction of Tweed Courthouse atop former site of Second Almshouse on the Commons,Text,Horizontal timeline marker,,http://s-media.nyc.gov/agencies/lpc/arch_reports/1555.pdf,"Chrysalis Archaeology and URS Corporation. City Hall Rehabilitation Archaeology Project 2010-2011 Volume 1. Edited by Alyssa Loorya and Christopher Ricciardi, June 2013.",City Hall Rehabilitation Archaeology Project 2010-2011,,,,1861,,,,Infrastructure,Park,,,,,,,,
1864 Typhoid Death Toll,Bri,"1864: Typhoid outbreak killed more than 1,000 New Yorkers",Date of major typhoid outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/?displayall=true,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1864,,,,Disease,,,,,,,,,
1865 Typhoid Death Toll,Bri,"1865: Typhoid outbreak killed more than 1,000 New Yorkers",Date of major typhoid outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/?displayall=true,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1865,,,,Disease,,,,,,,,,
1866 Cholera Death Toll,Bri,"1866: Another cholera outbreak killed 1,100 New Yorkers",Date of fifth cholera outbreak and death toll,Text,Horizontal timeline marker,,https://www.mcny.org/story/germ-city-epidemics-throughout-new-yorks-history ~ https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Hazelwood, Madeleine. “Germ City: Epidemics throughout New York’s History.” Museum of the City of New York, 23 Oct. 2018. ~ Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Museum of the City of New York ~ Untapped New York,,,,1866,,,,Disease,,,,,,,,,
1872 Smallpox Outbreak and Death Toll,Bri,"1872: Smallpox outbreak killed nearly 2,000 New Yorkers",Date of smallpox outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1872,,,,Disease,,,,,,,,,
1875 Smallpox Outbreak and Death Toll,Bri,"1875: Smallpox outbreak killed nearly 2,000 New Yorkers",Date of smallpox outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1875,,,,Disease,,,,,,,,,
1881 Diphtheria Death Toll,Bri,"1881: Diphtheria killed 4,900 New Yorkers",Date of major Diphtheria outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1881,,,,Disease,,,,,,,,,
1887 Diphtheria Death Toll,Bri,"1887: Diphtheria killed 4,500 New Yorkers",Date of major Diphtheria outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1887,,,,Disease,,,,,,,,,
1907 Typhoid Mary Identified,Bri,"1907: After being tied to multiple typhoid outbreaks in the wealthy Long Island homes where she cooked, Mary Mallon (""Typhoid Mary"") was sent to live in quarantine on North Brother Island until 1910",Date of identification of Typhoid Mary,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/13/the-strange-story-of-typhoid-mary-quarantined-on-north-brother-island/ AND https://www.theguardian.com/science/2020/mar/10/typhoid-mary-super-spreader-history,"Sheidlower, Noah. “The Strange Story of Typhoid Mary, Quarantined on North Brother Island.” Untapped New York, 13 Mar. 2020, https://untappedcities.com/2020/03/13/the-strange-story-of-typhoid-mary-quarantined-on-north-brother-island/. Accessed 31 Mar. 2021. AND Carroll, Rory. “Typhoid Mary: The Super-Spreader before the Term Even Existed.” The Guardian, 10 Mar. 2020, http://www.theguardian.com/science/2020/mar/10/typhoid-mary-super-spreader-history. Accessed 31 Mar. 2021.",Untapped New York and The Guardian,,,,1907,,,,Disease,,,,,,,,,
1915 Typhoid Mary Exiled to North Brother Island Permanently,Bri,"1915: Unable to make a living, Mary Mallon resumed cooking and was tied to more typhoid outbreaks; she was forced to live the last 23 years of her life in exile on North Brother Island",Date of Typhoid Mary being permanently exiled to North Brother Island,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/13/the-strange-story-of-typhoid-mary-quarantined-on-north-brother-island/ ~ https://www.theguardian.com/science/2020/mar/10/typhoid-mary-super-spreader-history,"Sheidlower, Noah. “The Strange Story of Typhoid Mary, Quarantined on North Brother Island.” Untapped New York, 13 Mar. 2020. ~ Carroll, Rory. “Typhoid Mary: The Super-Spreader before the Term Even Existed.” The Guardian, 10 Mar. 2020.",Untapped New York ~ The Guardian,,,,1915,,,,Disease,,,,,,,,,
1916 Polio Death Toll,Bri,"1916: Polio infected several thousand New Yorkers; killed more than 2,000",Date of polio outbreak and death toll,Text,Horizontal timeline marker,,https://untappedcities.com/2020/03/20/12-epidemics-that-plagued-new-york/,"Sheidlower, Noah. “12 Prior Epidemics That Plagued New York.” Untapped New York, 20 Mar. 2020.",Untapped New York,,,,1916,,,,Disease,,,,,,,,,
1918 Influenza Death Toll,Bri,"1918: Influenza epidemic killed more than 30,000 New Yorkers",Date of influenza epidemic with death toll in New York City,Text,Horizontal timeline marker,,https://www.mcny.org/story/germ-city-epidemics-throughout-new-yorks-history,"Hazelwood, Madeleine. “Germ City: Epidemics throughout New York’s History.” Museum of the City of New York, 23 Oct. 2018.",Museum of the City of New York,,,,1918,,,,Disease,,,,,,,,,
1981 AIDS Crisis Begins,Bri,1981: Doctors began seeing first cases new disease (AIDS),Date that doctors first began noticing what has become known as AIDS,Text,Horizontal timeline marker,,https://www.nycaidsmemorial.org/timeline,“HIV/AIDS Timeline.” New York City AIDS Memorial.,New York City AIDS Memorial,,,,1981,,,,Disease,,,,,,,,,
1991 construction begins on federal office building and human remains are uncovered ~ bodies are transported to DC for study,lane,1991: Construction began on modern day plot and human remains were uncovered ~ Bodies were transported to DC for analysis at Howard University,"Date that construction begins on federal office building located on modern day plot and human remains are uncovered by excavation workers ~ Date that human remains of 419 women, men, and children are transported to DC for analysis at Howard University which will last for 12 years",Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument.",,,,,1991,,,,African,Hidden,,,,,,,,
1994 AIDS Death Toll,Bri,"1994: Almost 50,000 New Yorkers have died from AIDS",Date at heigh of AIDS epidemic with death toll,Text,Horizontal timeline marker,,https://nymag.com/intelligencer/2014/05/memories-aids-new-york.html,"Murphy, Tim. “7 New Yorkers Remember the Early Days of the AIDS Epidemic.” Intelligencer, 29 May 2014.",Intelligencer,,,,1994,,,,Disease,,,,,,,,,
1999 nine intact burials are uncovered during construction ,lane,1999: Nine intact burials were uncovered during construction near initial discovery,Date that nine intact burials are discovered on the southern edge of the historic ground during construction of the new sidewalk in front of Tweed Building on Chambers Street,Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument.",,,,,1999,,,,African,,Hidden,Power,,,,,,
2003 bodies and remains are returned to resting place during Rites of Ancestral Return,lane,2003: Rites of Ancestral Return,"Date that some 10,000 participants of the ""Rites of Ancestral Return"" aid in the transportation and re-entering of the ancestral remains to rest on the perserved portion of the site (each in a hand-carved wooden coffin from Ghana)",Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument.",,,,,2003,,,,African,Reinternment ,Hidden,Power,,,,,,
2007 ABNM becomes first national monument dedicated to Africans of early New York and Americans of African descent,lane,2007: African Burial Ground National Monument became first national monument dedicated to Africans of early New York and Americans of African descent,Date when the African Burial Ground National Monument became the first national monument dedicated to Africans of early New York as well as Americans of African descent,Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument, https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm. Accessed 23 Mar. 2021.",,,,,2007,,,,African,Reinterment,Hidden,Power,,,,,,
The Mystery of the Flying Kicks (2014).,Asma,Shoe-hanging on the powerlines running across street intersection. Seen in the 2014The Mystery of the Flying Kicks (Bate).,"Real coordinates of Shoe-Hangings located in Queens NY at the time of this Timeline are located on the Map page of Mapping Cemeteries. The image above is from the 2014 Film, The Mystery of the flying Kicks, directed by Matthew Bate. It is provided to visualize this memorial project without using primary source images that require more research advisement on ethics.",Image,"Location page, Shoe-Hangings seen in film culture.",,,"Bate, M. (2014). The Mystery of the Flying Kicks.",,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/Shoe-Hanging-As-Memory-Credit-Matthew-Bate-Film-TheMysteryofFlyingKicks-2010-SXSW-Debut.png,,,2014,Shoe-Hanging in Film Culture(part 2),,https://unsplash.com/photos/vDyhn5dM1wg?utm_source=unsplash&utm_medium=referral&utm_content=creditShareLink,Hidden,hangings,,,,,,,,
2020 COVID-19 Begins,Bri,2020: First COVID-19 case was confirmed in city on March 1,Date of first confirmed COVID-19 case in New York City,Text,Horizontal timeline marker,,https://www.nytimes.com/2020/03/01/nyregion/new-york-coronvirus-confirmed.html,"Goldstein, Joseph, and Jesse McKinley. “Coronavirus in N.Y.: Manhattan Woman Is First Confirmed Case in State.” The New York Times, 2 Mar. 2020.",The New York Times,,,,2020,,,,Disease,,,,,,,,,
"Queens, NY ",Asma,"An image representation from film, Concrete Cowboy (2021) for the Queens, NY coordinates captured by Project Manager, Bri Caszatt, in Spring 2021. ",,Image,"Location Page, second data point (chronologically) that visualizes deathscape to the MC audience. ",,,"Staub, D. (2021) Concrete Cowboy. BlackPast, B. (2008, September 22). (1909) Ida B. Wells, “Lynching, Our National Crime”. BlackPast.org. https://www.blackpast.org/african-american-history/1909-ida-b-wells-awful-slaughter/",,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/Staub-Concrete-Cowboy-2021-Shoe-Hanging.png,73.91725183,40.74095743,2020,"Shoe-Hanging(s), Queens, NY",,https://unsplash.com/photos/vDyhn5dM1wg?utm_source=unsplash&utm_medium=referral&utm_content=creditShareLink,queens,embodied,hidden,,,,,,,
2021 - A Love Song for Latasha (part 1),Asma,"Sneakers tied at the laces on Powerline, with its location ""South Central Los Angles, CA"" inscribed in the center. ","A pair of shoes hanging on the powerlines with its location ""South Central Los Angles, CA"" inscribed in the center. Seen in the 2020 trailer and film, A Love Song for Latasha (Allison). This documetnary debuted in 2021 on Netflix.",Image,Horizontal timeline and location page,Netflix/YouTube,,"Allison, Nahli, S. (2019). A Love Song for Latasha. ",,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/Allison-A-Love-Song-for-Latasha-2020-MCSP21.png,,,2021,Audio as a Mode of Mapping  ,,https://unsplash.com/photos/vDyhn5dM1wg?utm_source=unsplash&utm_medium=referral&utm_content=creditShareLink,Hidden,Power,,,,,,,,
